# Nuvio recommendations — aggregated from every profile's watchlist and watch history
# Engine: TMDB recommendations (https://www.themoviedb.org)
# Last generated: 2026-08-10T15:19:28Z
# content_id	content_type	name	because you watched
tt21946032	series	Conversations with a Killer: The Jeffrey Dahmer Tapes	American Manhunt: O.J. Simpson, Betrayal, Crime Scene: The Texas Killing Fields (+26 more)
tt8300324	series	I AM A KILLER	American Manhunt: O.J. Simpson, Betrayal, Crime Scene: The Texas Killing Fields (+25 more)
tt10720030	series	Atlanta's Missing and Murdered: The Lost Children	American Manhunt: O.J. Simpson, Betrayal, Crime Scene: The Texas Killing Fields (+22 more)
tt34169767	series	Cold Case: Who Killed JonBenét Ramsey	American Manhunt: O.J. Simpson, Crime Scene: The Texas Killing Fields, Crime Scene: The Times Square Killer (+17 more)
tt22646714	series	Killer Sally	American Manhunt: O.J. Simpson, Betrayal, Crime Scene: The Texas Killing Fields (+17 more)
tt6322264	series	Inside the World's Toughest Prisons	Betrayal, Crime Scene: The Times Square Killer, Death in Apartment 603: What Happened to Ellen Greenberg? (+15 more)
tt31556143	series	Homicide	American Manhunt: O.J. Simpson, Crime Scene: The Texas Killing Fields, Crime Scene: The Times Square Killer (+13 more)
tt1934673	series	Homicide Hunter: Lt Joe Kenda	Crime Scene: The Texas Killing Fields, Crime Scene: The Times Square Killer, Desperately Seeking Soulmate: Escaping Twin Flames Universe (+11 more)
tt30412869	series	56 Days	A Good Girl's Guide to Murder, Cape Fear, Dexter: New Blood (+11 more)
tt1720601	series	The Real Housewives of Beverly Hills	90 Day Fiancé, 90 Day Fiancé: Before the 90 Days, 90 Day Fiancé: Happily Ever After? (+10 more)
tt5396394	series	American Housewife	Arrested Development, Bob's Burgers, Deep Fake Neighbour Wars (+9 more)
tt6772336	series	Fear Factor	90 Day Fiancé: Before the 90 Days, 90 Day Fiancé: Love in Paradise, 90 Day Fiancé: The Other Way (+9 more)
tt2850386	movie	The Croods: A New Age	Cars, Elemental, Hoppers (+9 more)
tt12408718	series	Murder in a Small Town	A Good Girl's Guide to Murder, Better Call Saul, Dexter: New Blood (+9 more)
tt28104766	series	Squid Game: The Challenge	90 Day Fiancé, 90 Day Fiancé: Before the 90 Days, 90 Day Fiancé: Love in Paradise (+9 more)
tt23330464	series	Stolen Youth: Inside the Cult at Sarah Lawrence	American Manhunt: O.J. Simpson, Dancing for the Devil: The 7M TikTok Cult, Desperately Seeking Soulmate: Escaping Twin Flames Universe (+8 more)
tt11600174	series	The Pharmacist	American Manhunt: O.J. Simpson, Betrayal, Crime Scene: The Texas Killing Fields (+8 more)
tt11794812	series	Cross	A Good Girl's Guide to Murder, Dexter: New Blood, Dexter: Original Sin (+8 more)
tt43680755	series	The Idaho Murders: College Nightmare	Bring Me the Beauties: A Model Cult, Capturing Their Killer: The Girls on the High Bridge, Fit for TV: The Reality of the Biggest Loser (+8 more)
tt6439562	series	Mind Field	Death in Apartment 603: What Happened to Ellen Greenberg?, Don't Date Brandon, History 101 (+7 more)
tt27142031	series	American Manhunt: The Boston Marathon Bombing	American Manhunt: O.J. Simpson, Crime Scene: The Texas Killing Fields, Desperately Seeking Soulmate: Escaping Twin Flames Universe (+7 more)
tt5489746	series	Evil Lives Here	Crime Scene: The Times Square Killer, Don't F**k with Cats: Hunting an Internet Killer, Most Evil (+6 more)
tt33163756	series	Into the Fire: The Lost Daughter	American Manhunt: O.J. Simpson, Crime Scene: The Texas Killing Fields, Don't F**k with Cats: Hunting an Internet Killer (+6 more)
tt0446850	series	MegaStructures	Bring Me the Beauties: A Model Cult, Chimp Crazy, Customer Wars (+6 more)
tt6792200	series	The Keepers	American Manhunt: O.J. Simpson, Don't F**k with Cats: Hunting an Internet Killer, Most Evil (+6 more)
tt0072519	series	The Jeffersons	Arrested Development, Brooklyn Nine-Nine, Frasier (+6 more)
tt5611024	series	Fool Me Once	A Good Girl's Guide to Murder, Dexter: Original Sin, I Will Find You (+6 more)
tt13366604	series	Platonic	Animal Control, It's Always Sunny in Philadelphia, Life, Larry and the Pursuit of Unhappiness: an Almost History of America (+6 more)
tt0765425	series	Top Chef	90 Day Fiancé: Before the 90 Days, 90 Day Fiancé: Love in Paradise, 90 Day Fiancé: The Other Way (+6 more)
tt0247144	series	Yes, Dear	Arrested Development, Bob's Burgers, Frasier (+6 more)
tt31019484	series	Missing You	A Good Girl's Guide to Murder, Dexter: New Blood, Dexter: Original Sin (+6 more)
tt0163503	series	Top Gear	Bring Me the Beauties: A Model Cult, Chimp Crazy, Customer Wars (+5 more)
tt8864596	movie	Transformers One	Big Hero 6, Cars, Lightyear (+5 more)
tt5574490	series	Animal Kingdom	Better Call Saul, Cape Fear, Euphoria (+5 more)
tt11947238	series	History's Greatest Mysteries	Capturing Their Killer: The Girls on the High Bridge, John Lennon: Murder Without a Trial, Naming the Dead (+5 more)
tt0098830	series	In Living Color	Deep Fake Neighbour Wars, Life, Larry and the Pursuit of Unhappiness: an Almost History of America, Running Point (+5 more)
tt0085050	series	Mama's Family	Arrested Development, How I Met Your Father, Kevin Can Wait (+5 more)
tt1416765	series	Parenthood	90 Day: The Single Life, Boston Public, Brothers & Sisters (+5 more)
tt0983514	series	Kitchen Nightmares	90 Day Fiancé: Before the 90 Days, 90 Day Fiancé: Love in Paradise, 90 Day Fiancé: The Other Way (+5 more)
tt1911883	series	Tyler Perry's For Better or Worse	Beef, DTF St. Louis, Kevin Can F**k Himself (+5 more)
tt6143796	series	Workin' Moms	Human Resources, Kevin Can F**k Himself, Maximum Pleasure Guaranteed (+5 more)
tt12673630	series	The New York Times Presents	Death in Apartment 603: What Happened to Ellen Greenberg?, Desperately Seeking Soulmate: Escaping Twin Flames Universe, History 101 (+5 more)
tt0912343	series	Tim and Eric Awesome Show, Great Job!	Animal Control, Human Resources, It's Always Sunny in Philadelphia (+5 more)
tt4900148	movie	Elio	Big Hero 6, Cars, Leo (+5 more)
tt1780441	series	Portlandia	It's Always Sunny in Philadelphia, Life, Larry and the Pursuit of Unhappiness: an Almost History of America, Robot Chicken (+5 more)
tt6110648	series	The Purge	A Good Girl's Guide to Murder, Dexter: Original Sin, Dexter: Resurrection (+5 more)
tt33246591	series	The Assassin	A Good Girl's Guide to Murder, Dexter: Original Sin, Dexter: Resurrection (+5 more)
tt0046600	series	Father Knows Best	Arrested Development, Kevin Can Wait, Married... with Children (+5 more)
tt0053525	series	My Three Sons	Arrested Development, Frasier, How I Met Your Father (+5 more)
tt0103396	series	Dateline	Crime Scene: The Times Square Killer, Desperately Seeking Soulmate: Escaping Twin Flames Universe, Don't F**k with Cats: Hunting an Internet Killer (+5 more)
